GSRN,cluster
570714700000000140,1
570714700000000157,1
570714700000000317,1
570714700000000324,1
570714700000000331,1
570714700000000348,0
570714700000000355,1
570714700000000362,1
570714700000000379,0
570714700000000850,1
570714700000000881,1
570714700000000966,1
570714700000000997,1
570714700000001048,0
570714700000001079,1
570714700000002090,1
570714700000002137,1
570714700000002144,1
570714700000002182,1
570714700000002199,1
570714700000002205,1
570714700000002304,0
570714700000002311,0
570714700000002489,0
570714700000002496,0
570714700000002502,0
570714700000002786,0
570714700000002830,1
570714700000002847,0
570714700000002854,0
570714700000003134,1
570714700000003165,1
570714700000003219,1
570714700000003233,1
570714700000003240,1
570714700000003257,1
570714700000003264,1
570714700000003271,1
570714700000003288,1
570714700000003295,1
570714700000003301,1
570714700000003318,1
570714700000003349,2
570714700000003356,0
570714700000003363,0
570714700000003370,1
570714700000003387,1
570714700000003394,1
570714700000003400,0
570714700000003424,2
570714700000003431,0
570714700000003479,0
570714700000003486,1
570714700000003493,1
570714700000004384,1
570714700000004605,1
570714700000004735,1
570714700000004742,1
570714700000004759,1
570714700000005107,0
570714700000005114,1
570714700000005121,0
570714700000005138,0
570714700000005213,1
570714700000005251,0
570714700000005268,0
570714700000005282,1
570714700000005299,1
570714700000005305,1
570714700000005312,1
570714700000005329,2
570714700000005336,1
570714700000005343,1
570714700000005350,1
570714700000005367,1
570714700000005374,1
570714700000005381,1
570714700000005404,0
570714700000005428,0
570714700000005435,1
570714700000005442,1
570714700000005466,0
570714700000005473,1
570714700000005480,1
570714700000005497,1
570714700000009587,1
570714700000009648,1
570714700000009785,0
570714700000009808,1
570714700000009914,0
570714700000009938,0
570714700000010163,1
570714700000010170,1
570714700000010590,0
570714700000010606,0
570714700000010613,0
570714700000010620,0
570714700000010637,0
570714700000010644,0
570714700000010804,0
570714700000010811,0
570714700000010842,0
570714700000010859,0
570714700000010897,1
570714700000010903,0
570714700000010958,0
570714700000010965,0
570714700000010972,0
570714700000010989,1
570714700000011139,0
570714700000011153,0
570714700000011160,0
570714700000011177,0
570714700000011184,1
570714700000011207,1
570714700000011214,0
570714700000011221,0
570714700000011238,1
570714700000011245,1
570714700000011252,0
570714700000011269,1
570714700000011276,1
570714700000011689,0
570714700000011696,0
570714700000011719,0
570714700000011726,0
570714700000011733,0
570714700000011771,0
570714700000011788,0
570714700000011795,0
570714700000011801,0
570714700000011818,1
570714700000011825,1
570714700000011832,1
570714700000011856,1
570714700000011863,1
570714700000011870,1
570714700000011887,0
570714700000011894,0
570714700000011900,0
570714700000012204,0
570714700000012211,1
570714700000012235,0
570714700000012242,1
570714700000012259,0
570714700000012266,0
570714700000012273,1
570714700000012280,0
570714700000012297,0
570714700000012303,0
570714700000012327,1
570714700000012372,1
570714700000012389,1
570714700000012396,1
570714700000012402,1
570714700000012419,1
570714700000012426,0
570714700000012433,0
570714700000012440,0
570714700000012457,0
570714700000012495,0
570714700000012518,0
570714700000012525,1
570714700000012532,1
570714700000012556,0
570714700000012563,0
570714700000012570,0
570714700000012631,0
570714700000012648,0
570714700000012655,0
570714700000012693,1
570714700000012709,1
570714700000012778,0
570714700000012785,0
570714700000012792,0
570714700000012808,0
570714700000012815,0
570714700000012839,1
570714700000012846,2
570714700000012853,0
570714700000012860,0
570714700000012877,1
570714700000012884,0
570714700000012891,0
570714700000012907,0
570714700000012914,0
570714700000012921,0
570714700000013096,0
570714700000013102,1
570714700000013119,1
570714700000013126,1
570714700000013133,0
570714700000013188,0
570714700000013201,1
570714700000013218,0
570714700000013232,0
570714700000013249,0
570714700000013270,0
570714700000013287,0
570714700000013294,0
570714700000013300,0
570714700000013317,0
570714700000013355,0
570714700000013362,1
570714700000013379,1
570714700000013386,0
570714700000013393,0
570714700000013409,0
570714700000013430,0
570714700000013485,1
570714700000013515,1
570714700000013621,1
570714700000013669,1
570714700000013676,0
570714700000013812,0
570714700000013829,0
570714700000013836,1
570714700000013843,1
570714700000013881,1
570714700000013898,0
570714700000013904,1
570714700000013911,1
570714700000013928,0
570714700000013935,1
570714700000013942,1
570714700000014178,0
570714700000014215,1
570714700000014222,1
570714700000014239,1
570714700000014284,1
570714700000014291,1
570714700000014307,1
570714700000014314,1
570714700000014321,1
570714700000014338,0
570714700000105814,1
570714700000105821,1
570714700000105838,0
570714700000105883,0
570714700000106682,1
570714700000106699,1
570715000000107078,1
571313174116253585,1
