n_clients,k_global,crounds,silhouette
5,2,3,0.38490499887514323
5,2,4,0.3852997220160818
5,2,5,0.3852997220160818
5,2,6,0.3852997220160818
5,2,7,0.3852997220160818
5,2,8,0.3852997220160818
5,2,9,0.3852997220160818
5,3,3,0.3965180130306928
5,3,4,0.39836691939204394
5,3,5,0.39491679533402735
5,3,6,0.39891201824230854
5,3,7,0.39891201824230854
5,3,8,0.39891201824230854
5,3,9,0.39891201824230854
5,4,3,0.279982021606481
5,4,4,0.2789163239510705
5,4,5,0.276619882560578
5,4,6,0.28016214130026496
5,4,7,0.2803012855677496
5,4,8,0.2826284734160718
5,4,9,0.2803348568301211
5,5,3,0.26800377783347806
5,5,4,0.2721958078295522
5,5,5,0.2720424030394943
5,5,6,0.2729555449227975
5,5,7,0.27275975499580635
5,5,8,0.27206914304082236
5,5,9,0.27206914304082236
5,6,3,0.24031951551187652
5,6,4,0.25223203386459303
5,6,5,0.2694671156612586
5,6,6,0.2737025923909326
5,6,7,0.27368931328839385
5,6,8,0.272512597437155
5,6,9,0.27199362165013735
5,7,3,0.2534023250562813
5,7,4,0.2546843207602442
5,7,5,0.2824715203664997
5,7,6,0.2882485513683836
5,7,7,0.2894731657940172
5,7,8,0.2908370738600024
5,7,9,0.29362878186339836
6,2,3,0.381857505225977
6,2,4,0.3857566799858531
6,2,5,0.38564617166045506
6,2,6,0.38567297138537815
6,2,7,0.38534218670551984
6,2,8,0.3852997220160818
6,2,9,0.3852997220160818
6,3,3,0.39891201824230854
6,3,4,0.39891201824230854
6,3,5,0.39891201824230854
6,3,6,0.39891201824230854
6,3,7,0.39891201824230854
6,3,8,0.39891201824230854
6,3,9,0.39891201824230854
6,4,3,0.3180612842154155
6,4,4,0.3077488373667071
6,4,5,0.3113569261489458
6,4,6,0.3134565015133939
6,4,7,0.31674185402854105
6,4,8,0.3187656908199898
6,4,9,0.3384889962923239
6,5,3,0.2703766766151806
6,5,4,0.27623726104421076
6,5,5,0.2807449417629687
6,5,6,0.28108683641873716
6,5,7,0.28048888110287484
6,5,8,0.27678547383610497
6,5,9,0.2780004897173079
6,6,3,0.2731930969800395
6,6,4,0.29546768188552913
6,6,5,0.2952728909627108
6,6,6,0.2963906262318685
6,6,7,0.29530598598552366
6,6,8,0.2945923034626129
6,6,9,0.2944234432664327
6,7,3,0.298453445731589
6,7,4,0.27207474409012444
6,7,5,0.27412292225740026
6,7,6,0.2768740415399054
6,7,7,0.27486104020569413
6,7,8,0.2762206225365033
6,7,9,0.2783410654922173
7,2,3,0.37599840845248667
7,2,4,0.3784714808386094
7,2,5,0.3828337599324125
7,2,6,0.3845289363518092
7,2,7,0.3846965929101266
7,2,8,0.3852997220160818
7,2,9,0.3852997220160818
7,3,3,0.26895278898990194
7,3,4,0.28094944620750695
7,3,5,0.29209622963408244
7,3,6,0.2968995296645615
7,3,7,0.30056574910776124
7,3,8,0.30327227512687516
7,3,9,0.3054616431065602
7,4,3,0.2676084974550607
7,4,4,0.2714342201876631
7,4,5,0.2737617756441335
7,4,6,0.27330797460475004
7,4,7,0.2742091135470274
7,4,8,0.2745213809633642
7,4,9,0.2748901382392461
7,5,3,0.25643718725264086
7,5,4,0.2700453006499739
7,5,5,0.28376294084753023
7,5,6,0.2982024201134933
7,5,7,0.30257743080365684
7,5,8,0.30452166099184813
7,5,9,0.3053459610574745
7,6,3,0.2741255628772414
7,6,4,0.2791943077096594
7,6,5,0.22859615644847853
7,6,6,0.24088035783375347
7,6,7,0.24848602431328184
7,6,8,0.25022527276218315
7,6,9,0.25534577887126486
7,7,3,0.2528714380895636
7,7,4,0.255573141436492
7,7,5,0.25103833394731123
7,7,6,0.24996021904391102
7,7,7,0.2547837531789448
