GSRN,cluster
570714700000000355,0
570714700000000362,0
570714700000000379,0
570714700000003585,0
570714700000004469,0
570714700000004513,0
570714700000004520,1
570714700000004568,0
570714700000004575,1
570714700000004605,0
570714700000004704,0
570714700000004728,0
570714700000004735,0
570714700000004742,0
570714700000004759,0
570714700000004810,0
570714700000004940,0
570714700000004964,0
570714700000004995,0
570714700000005039,0
570714700000005053,0
570714700000005060,0
570714700000005091,0
570714700000005213,0
570714700000005503,0
570714700000009648,0
570714700000009655,0
570714700000009662,0
570714700000009938,0
570714700000009945,0
570714700000010750,0
570714700000010767,0
570714700000010897,0
570714700000011825,0
570714700000011832,0
570714700000012396,0
570714700000014284,0
570714700000014291,0
570714700000014307,0
570714700000014314,0
570714700000014321,0
570714700000014338,0
570714700000106682,0
570714700000106699,0
570714700000106958,0
570715000000091681,2
570715000000107078,0
571313174116253585,0
