GSRN,cluster
570714700000000355,1
570714700000000362,1
570714700000000379,2
570714700000003585,0
570714700000004469,4
570714700000004513,1
570714700000004568,4
570714700000004605,1
570714700000004704,0
570714700000004728,0
570714700000004735,1
570714700000004742,1
570714700000004759,1
570714700000004810,0
570714700000004940,0
570714700000004964,0
570714700000004995,0
570714700000005039,0
570714700000005053,0
570714700000005060,0
570714700000005091,0
570714700000005213,1
570714700000005503,0
570714700000009648,2
570714700000009655,1
570714700000009662,2
570714700000009938,2
570714700000009945,2
570714700000010750,0
570714700000010767,0
570714700000010897,1
570714700000011825,3
570714700000011832,1
570714700000012396,1
570714700000014284,1
570714700000014291,1
570714700000014307,1
570714700000014314,1
570714700000014321,1
570714700000014338,2
570714700000106682,1
570714700000106699,1
570714700000106958,0
570715000000107078,3
571313174116253585,3
