n_clients,k_global,crounds,silhouette
3,3,2,0.4028346452029906
3,3,3,0.35758910890896967
3,3,4,0.4059394074063198
3,3,5,0.4028346452029906
3,3,6,0.4006241524612158
3,3,7,0.40028252567519423
3,4,2,0.4160130469517628
3,4,3,0.39628950342892527
3,4,4,0.40604117559003894
3,4,5,0.4160130469517628
3,4,6,0.4106775928084311
3,4,7,0.40604117559003894
3,5,2,0.4246157360447412
3,5,3,0.3750487903789767
3,5,4,0.4315934099670885
3,5,5,0.36991561531400136
3,5,6,0.3372926643469175
3,5,7,0.3750264328639026
4,3,2,0.32496876050462825
4,3,3,0.40028252567519423
4,3,4,0.40028252567519423
4,3,5,0.40028252567519423
4,3,6,0.40028252567519423
4,3,7,0.40028252567519423
4,4,2,0.4106775928084311
4,4,3,0.41060722689582607
4,4,4,0.4275578966456192
4,4,5,0.42486490679536587
4,4,6,0.4286851889588603
4,4,7,0.2721160178422748
4,5,2,0.4235731601766292
4,5,3,0.46663271753126623
4,5,4,0.42680139590099264
4,5,5,0.42368195285359816
4,5,6,0.441699516171225
4,5,7,0.4518388605620508
5,3,2,0.4028346452029906
5,3,3,0.4006241524612158
5,3,4,0.40028252567519423
5,3,5,0.40028252567519423
5,3,6,0.40028252567519423
5,3,7,0.40028252567519423
5,4,2,0.404878610147596
5,4,3,0.41060722689582607
5,4,4,0.39628950342892527
5,4,5,0.4144567848271478
5,4,6,0.4119653606020338
5,4,7,0.4357963589803879
5,5,2,0.46663271753126623
5,5,3,0.3509580693180017
5,5,4,0.3655138018429763
5,5,5,0.465742802001883
5,5,6,0.4206529227228986
5,5,7,0.36417409811624535
6,3,2,0.4060115978623132
6,3,3,0.43238838864659
6,3,4,0.4286031928479294
6,3,5,0.4286031928479294
6,3,6,0.4172597795097699
6,3,7,0.35093407836887125
6,4,2,0.3070289565921202
6,4,3,0.33882811281602937
6,4,4,0.42563135434275423
6,4,5,0.4307099033001607
6,4,6,0.41060722689582607
6,4,7,0.4275578966456192
6,5,2,0.43158319864712913
6,5,3,0.4523770024305768
6,5,4,0.40808995797108144
6,5,5,0.3479812458720082
6,5,6,0.41407590587026
6,5,7,0.31305918676021344
7,3,2,0.4028346452029906
7,3,3,0.3704642498709071
7,3,4,0.40539450490461887
7,3,5,0.40539450490461887
7,3,6,0.41619513485038173
7,3,7,0.40693630462124863
7,4,2,0.43609659668968737
7,4,3,0.4156473380779789
7,4,4,0.4569223404496545
7,4,5,0.43157605808264793
7,4,6,0.43169701865208016
7,4,7,0.3673339111399979
7,5,2,0.40633650098049384
7,5,3,0.42429036506230045
7,5,4,0.451265592658595
7,5,5,0.42911068456217455
7,5,6,0.28885848384078827
7,5,7,0.41155828905595554
