n_clients,k_global,crounds,silhouette
5,3,3,0.3104460790890331
5,3,4,0.29859006805788507
5,3,5,0.29571821309452506
5,3,6,0.29581286038656074
5,3,7,0.2968149174412874
5,3,8,0.30089497041157803
5,3,9,0.303145457058462
5,4,3,0.511189307081976
5,4,4,0.5113891013410394
5,4,5,0.5113891013410394
5,4,6,0.5113891013410394
5,4,7,0.5291587647200398
5,4,8,0.5113891013410394
5,4,9,0.5113891013410394
5,5,3,0.3854975221297948
5,5,4,0.3857533781197279
5,5,5,0.3857533781197279
5,5,6,0.3857533781197279
5,5,7,0.380233606964772
5,5,8,0.380233606964772
5,5,9,0.380233606964772
5,6,3,0.35722204533870455
5,6,4,0.39105169872069717
5,6,5,0.39105169872069717
5,6,6,0.39105169872069717
5,6,7,0.5215896148708561
5,6,8,0.32692451769877406
5,6,9,0.39175386810552687
5,7,3,0.3800600146373371
5,7,4,0.3800600146373371
5,7,5,0.3800600146373371
5,7,6,0.36092066981472215
5,7,7,0.3802752324246126
5,7,8,0.3843728847478522
5,7,9,0.36913016273599414
5,8,3,0.2812907184299151
5,8,4,0.28321230818107845
5,8,5,0.33868144866966515
5,8,6,0.2809692178188371
5,8,7,0.3027921786900507
5,8,8,0.31972430807163316
5,8,9,0.33941814876111076
5,9,3,0.3339669351496239
5,9,4,0.3473182759714708
5,9,5,0.34650602557064747
5,9,6,0.2772837782346386
5,9,7,0.3348565846338292
5,9,8,0.3366991562712948
5,9,9,0.35169183607786997
6,3,3,0.554777128799962
6,3,4,0.508186589777622
6,3,5,0.5072760657396304
6,3,6,0.5072760657396304
6,3,7,0.5094827901192037
6,3,8,0.502859305160754
6,3,9,0.502859305160754
6,4,3,0.3699784454959471
6,4,4,0.3731933370751358
6,4,5,0.52368596776346
6,4,6,0.52368596776346
6,4,7,0.5291587647200398
6,4,8,0.5113891013410394
6,4,9,0.5291587647200398
6,5,3,0.3782165062421467
6,5,4,0.380233606964772
6,5,5,0.3837206158095373
6,5,6,0.3548974336763707
6,5,7,0.38065858939883346
6,5,8,0.3688085002184423
6,5,9,0.3799985521893328
6,6,3,0.3664116437061072
6,6,4,0.3658775941036778
6,6,5,0.3703956824740181
6,6,6,0.36128923880476554
6,6,7,0.36082969445002344
6,6,8,0.36135211490964514
6,6,9,0.36135211490964514
6,7,3,0.37714290160346353
6,7,4,0.3725799062488264
6,7,5,0.3577105077668673
6,7,6,0.3464635953575237
6,7,7,0.3436189666034211
6,7,8,0.3676059266719296
6,7,9,0.34078047733418154
6,8,3,0.3548477350886961
6,8,4,0.3499360991545676
6,8,5,0.35077078103617526
6,8,6,0.3499360991545676
6,8,7,0.34190161857384777
6,8,8,0.34103619944753577
6,8,9,0.35017332509511784
6,9,3,0.31963924496724916
6,9,4,0.3462479092686463
6,9,5,0.3483267355155577
6,9,6,0.3411379691987474
6,9,7,0.2722948384702115
6,9,8,0.2535334843452494
6,9,9,0.26789356003577325
7,3,3,0.5013796350476718
7,3,4,0.5134742147288006
7,3,5,0.5134742147288006
7,3,6,0.5072760657396304
7,3,7,0.5134742147288006
7,3,8,0.5072760657396304
7,3,9,0.639654336607634
7,4,3,0.3739134156180922
7,4,4,0.3759802594860379
7,4,5,0.3760471242709958
7,4,6,0.3760471242709958
7,4,7,0.52368596776346
7,4,8,0.3507794301830462
7,4,9,0.3627884539930752
7,5,3,0.28464718555879265
7,5,4,0.24822518949927697
7,5,5,0.343452348645987
7,5,6,0.36859113609341787
7,5,7,0.48952021357280506
7,5,8,0.35938335313901937
7,5,9,0.3638634387518781
7,6,3,0.3223836931936328
7,6,4,0.3905131246499302
7,6,5,0.39139136276220776
7,6,6,0.31191935975667395
7,6,7,0.3262371895022854
7,6,8,0.31652061167903367
7,6,9,0.31069173397370853
7,7,3,0.3349761993552444
7,7,4,0.3163788918656816
7,7,5,0.37622323434484095
7,7,6,0.3377081070505607
7,7,7,0.30040512392990637
7,7,8,0.3387188614315686
7,7,9,0.330625984470939
7,8,3,0.35376334051270975
7,8,4,0.3547068153154012
7,8,5,0.2732748038955706
7,8,6,0.34974996192165553
7,8,7,0.29424928999737604
7,8,8,0.3293923904468659
7,8,9,0.3435582133274522
7,9,3,0.318228420302302
7,9,4,0.3308088867869316
7,9,5,0.3453157770705335
7,9,6,0.3139514584863532
7,9,7,0.30746477765413177
7,9,8,0.3300541520518419
7,9,9,0.3480529340700984
8,3,3,0.47968439863398166
8,3,4,0.47968439863398166
8,3,5,0.47968439863398166
8,3,6,0.47968439863398166
8,3,7,0.47968439863398166
8,3,8,0.47968439863398166
8,3,9,0.47968439863398166
8,4,3,0.3731418461886964
8,4,4,0.37550681890543314
8,4,5,0.5139323292893574
8,4,6,0.5113891013410394
8,4,7,0.5291587647200398
8,4,8,0.5113891013410394
8,4,9,0.3738797008322704
8,5,3,0.37519705953856236
8,5,4,0.28719309636100576
8,5,5,0.29219468956561745
8,5,6,0.30372029605486084
8,5,7,0.3839853188484941
8,5,8,0.3858031059488668
8,5,9,0.38713928162909683
8,6,3,0.2841420903958849
8,6,4,0.30010028643960146
8,6,5,0.2918739902445069
8,6,6,0.3170860430576282
8,6,7,0.3170860430576282
8,6,8,0.2797708239387865
8,6,9,0.31300307313872316
8,7,3,0.36463736232365646
8,7,4,0.3323179894031141
8,7,5,0.37402373211138606
