n_clients,k_global,crounds,silhouette
5,3,3,0.7859344163549383
5,3,4,0.7869751582836336
5,3,5,0.7859344163549383
5,3,6,0.7859344163549383
5,3,7,0.785540688365476
5,3,8,0.7859344163549383
5,3,9,0.7859344163549383
5,4,3,0.7927528715097396
5,4,4,0.767348157993888
5,4,5,0.7927528715097396
5,4,6,0.7927528715097396
5,4,7,0.7927528715097396
5,4,8,0.767348157993888
5,4,9,0.7927528715097396
5,5,3,0.7918510941535117
5,5,4,0.7918510941535117
5,5,5,0.7577614419776739
5,5,6,0.7918510941535117
5,5,7,0.7577614419776739
5,5,8,0.7407308426410423
5,5,9,0.7475077482472412
5,6,3,0.74965819615503
5,6,4,0.7542469875565699
5,6,5,0.7465415567708841
5,6,6,0.74965819615503
5,6,7,0.47360051465559927
5,6,8,0.7957741805883691
5,6,9,0.7626095190688944
5,7,3,0.7556859122585327
5,7,4,0.7556859122585327
5,7,5,0.7556859122585327
5,7,6,0.7556859122585327
5,7,7,0.7556859122585327
5,7,8,0.7556859122585327
5,7,9,0.7556859122585327
6,3,3,0.7859344163549383
6,3,4,0.7859344163549383
6,3,5,0.7859344163549383
6,3,6,0.7859344163549383
6,3,7,0.7859344163549383
6,3,8,0.7859344163549383
6,3,9,0.7560062968660509
6,4,3,0.7807065577233874
6,4,4,0.7807065577233874
6,4,5,0.7927528715097396
6,4,6,0.7814499712784719
6,4,7,0.7863837420408994
6,4,8,0.7826402990641935
6,4,9,0.7855639195454356
6,5,3,0.7577614419776739
6,5,4,0.7258707706294006
6,5,5,0.7231793973787103
6,5,6,0.7475323403663997
6,5,7,0.7733078820991944
6,5,8,0.7733078820991944
6,5,9,0.7743142508745464
6,6,3,0.7478663362077959
6,6,4,0.7442169936184715
6,6,5,0.74965819615503
6,6,6,0.7542469875565699
6,6,7,0.7536533827651791
6,6,8,0.74965819615503
6,6,9,0.74965819615503
6,7,3,0.753452847055295
6,7,4,0.7556859122585327
6,7,5,0.7556859122585327
6,7,6,0.41865697501342825
6,7,7,0.46226558395526396
