n_clients,k_global,crounds,silhouette
3,3,2,0.6486421011978413
3,3,3,0.691054102651484
3,3,4,0.691054102651484
3,3,5,0.691054102651484
3,3,6,0.691054102651484
3,3,7,0.5484532901028994
3,4,2,0.43092167318118585
3,4,3,0.42190701446955253
3,4,4,0.42190701446955253
3,4,5,0.42190701446955253
3,4,6,0.43092167318118585
3,4,7,0.42190701446955253
3,5,2,0.4098210027401998
3,5,3,0.40711400800878444
3,5,4,0.40711400800878444
3,5,5,0.40711400800878444
3,5,6,0.40711400800878444
3,5,7,0.40711400800878444
4,3,2,0.34715200355141046
4,3,3,0.3566121009134801
4,3,4,0.3566121009134801
4,3,5,0.3522230326901772
4,3,6,0.3522230326901772
4,3,7,0.3522230326901772
4,4,2,0.42190701446955253
4,4,3,0.42190701446955253
4,4,4,0.42190701446955253
4,4,5,0.42190701446955253
4,4,6,0.42190701446955253
4,4,7,0.42190701446955253
4,5,2,0.3365920532778517
4,5,3,0.3972427284860564
4,5,4,0.4362863799959074
4,5,5,0.4362863799959074
4,5,6,0.4278308989753734
4,5,7,0.4362863799959074
5,3,2,0.691054102651484
5,3,3,0.3609922486923871
5,3,4,0.691054102651484
5,3,5,0.691054102651484
5,3,6,0.691054102651484
5,3,7,0.6486421011978413
5,4,2,0.42190701446955253
5,4,3,0.42190701446955253
5,4,4,0.42190701446955253
5,4,5,0.42190701446955253
5,4,6,0.42190701446955253
5,4,7,0.42190701446955253
5,5,2,0.41026482098702877
5,5,3,0.4327298953791369
5,5,4,0.40711400800878444
5,5,5,0.40711400800878444
5,5,6,0.40780410802885364
5,5,7,0.4277201715434231
6,3,2,0.6210485732327401
6,3,3,0.691054102651484
6,3,4,0.691054102651484
6,3,5,0.691054102651484
6,3,6,0.691054102651484
6,3,7,0.691054102651484
6,4,2,0.4051359284352401
6,4,3,0.34023804947175923
6,4,4,0.4213856714965118
6,4,5,0.38578141567156043
6,4,6,0.4213856714965118
6,4,7,0.4213856714965118
6,5,2,0.40711400800878444
6,5,3,0.40711400800878444
6,5,4,0.40711400800878444
6,5,5,0.3878950408412791
6,5,6,0.4362863799959074
6,5,7,0.39426233565372865
7,3,2,0.33067006459245935
7,3,3,0.691054102651484
7,3,4,0.691054102651484
7,3,5,0.691054102651484
7,3,6,0.691054102651484
7,3,7,0.691054102651484
7,4,2,0.42190701446955253
7,4,3,0.4051359284352401
7,4,4,0.40379216984478367
7,4,5,0.4213856714965118
7,4,6,0.4213856714965118
7,4,7,0.43092167318118585
7,5,2,0.4362863799959074
7,5,3,0.4362863799959074
7,5,4,0.4072255833810154
7,5,5,0.3586412520878958
7,5,6,0.3729100268220109
7,5,7,0.40919563997367553
