GSRN,cluster
570714700000000355,3
570714700000000362,3
570714700000000379,3
570714700000003585,0
570714700000004469,0
570714700000004476,2
570714700000004513,0
570714700000004520,0
570714700000004568,0
570714700000004575,0
570714700000004605,3
570714700000004704,0
570714700000004728,0
570714700000004735,3
570714700000004742,3
570714700000004759,3
570714700000004810,0
570714700000004940,0
570714700000004964,0
570714700000004995,0
570714700000005039,0
570714700000005053,0
570714700000005060,0
570714700000005091,0
570714700000005213,3
570714700000005503,0
570714700000009648,3
570714700000009655,3
570714700000009662,3
570714700000009938,3
570714700000009945,3
570714700000010750,0
570714700000010767,0
570714700000010897,3
570714700000011825,0
570714700000011832,3
570714700000012396,3
570714700000014284,3
570714700000014291,3
570714700000014307,3
570714700000014314,3
570714700000014321,3
570714700000014338,3
570714700000106682,3
570714700000106699,3
570714700000106958,0
570715000000091681,3
570715000000107078,3
570715000000128905,1
571313174116253585,3
