GSRN,cluster
570714700000000140,1
570714700000000157,1
570714700000000317,1
570714700000000324,1
570714700000000331,1
570714700000000348,1
570714700000000355,1
570714700000000362,1
570714700000000379,1
570714700000000966,1
570714700000002304,1
570714700000002311,1
570714700000002786,1
570714700000003134,1
570714700000003165,1
570714700000003219,1
570714700000003226,1
570714700000003301,1
570714700000003318,1
570714700000003431,1
570714700000003523,1
570714700000003530,1
570714700000003585,1
570714700000004384,1
570714700000004469,1
570714700000004476,3
570714700000004513,1
570714700000004520,1
570714700000004568,1
570714700000004575,1
570714700000004605,1
570714700000004704,1
570714700000004728,1
570714700000004735,1
570714700000004742,1
570714700000004759,1
570714700000004810,1
570714700000004940,1
570714700000004964,1
570714700000004995,1
570714700000005039,1
570714700000005053,1
570714700000005060,1
570714700000005091,1
570714700000005107,1
570714700000005114,1
570714700000005121,1
570714700000005138,1
570714700000005213,1
570714700000005282,1
570714700000005299,1
570714700000005305,1
570714700000005350,1
570714700000005381,1
570714700000005404,1
570714700000005411,1
570714700000005428,1
570714700000005435,1
570714700000005442,1
570714700000005466,1
570714700000005503,1
570714700000005886,1
570714700000006029,1
570714700000006258,1
570714700000006289,1
570714700000006296,1
570714700000007828,1
570714700000007927,3
570714700000008252,1
570714700000008450,1
570714700000008764,1
570714700000009648,1
570714700000009655,1
570714700000009662,1
570714700000009914,1
570714700000009938,1
570714700000009945,1
570714700000010590,1
570714700000010750,1
570714700000010767,1
570714700000010897,1
570714700000010989,1
570714700000011252,1
570714700000011269,1
570714700000011771,1
570714700000011788,1
570714700000011795,1
570714700000011801,1
570714700000011818,1
570714700000011825,1
570714700000011832,1
570714700000011849,1
570714700000011856,1
570714700000011863,1
570714700000011900,1
570714700000012242,1
570714700000012280,1
570714700000012297,1
570714700000012303,1
570714700000012327,1
570714700000012372,1
570714700000012389,1
570714700000012396,1
570714700000012402,1
570714700000012419,1
570714700000012495,1
570714700000012501,1
570714700000012518,1
570714700000012525,1
570714700000012563,1
570714700000012570,1
570714700000012631,1
570714700000012648,1
570714700000012792,1
570714700000012808,1
570714700000012815,1
570714700000012839,1
570714700000012846,1
570714700000013034,1
570714700000013041,1
570714700000013058,0
570714700000013096,1
570714700000013102,1
570714700000013119,1
570714700000013126,1
570714700000013133,1
570714700000013188,1
570714700000013232,1
570714700000013249,1
570714700000013294,1
570714700000013300,1
570714700000013317,1
570714700000013324,1
570714700000013331,1
570714700000013348,1
570714700000013355,1
570714700000013362,1
570714700000013379,1
570714700000013386,1
570714700000013393,1
570714700000013409,1
570714700000013430,1
570714700000013515,1
570714700000013621,1
570714700000013638,1
570714700000013812,1
570714700000013829,1
570714700000013836,1
570714700000013843,1
570714700000013881,1
570714700000013898,1
570714700000013904,1
570714700000013911,1
570714700000013928,1
570714700000014178,1
570714700000014284,1
570714700000014291,1
570714700000014307,1
570714700000014314,1
570714700000014321,1
570714700000014338,1
570714700000106682,1
570714700000106699,1
570714700000106958,1
570715000000083464,1
570715000000084607,2
570715000000084652,2
570715000000088643,2
570715000000088667,2
570715000000091681,1
570715000000107078,1
570715000000125539,0
570715000000125546,2
570715000000125591,2
570715000000125614,2
570715000000125621,4
570715000000125638,0
570715000000125652,2
570715000000125669,2
570715000000125683,4
570715000000125706,2
570715000000128905,2
571313161170169150,2
571313161170169709,2
571313161170169785,4
571313174000602109,2
571313174000602116,2
571313174000602123,2
571313174000602130,2
571313174000602147,2
571313174000602154,2
571313174000780944,2
571313174000780951,2
571313174001641220,2
571313174001641237,2
571313174001641244,2
571313174001641251,2
571313174001641268,4
571313174001764448,1
571313174116253585,1
