n_clients,k_global,crounds,silhouette
5,3,3,0.3624476190340051
5,3,4,0.36337302714871644
5,3,5,0.3641292603648172
5,3,6,0.36535781168191755
5,3,7,0.36535781168191755
5,3,8,0.36535781168191755
5,3,9,0.36535781168191755
5,4,3,0.2886299626022746
5,4,4,0.33329727104352397
5,4,5,0.35536461020884363
5,4,6,0.3616819500217264
5,4,7,0.36740053427218383
5,4,8,0.3710466991923078
5,4,9,0.3741193984424246
5,5,3,0.3110100793999184
5,5,4,0.3110100793999184
5,5,5,0.3110100793999184
5,5,6,0.28036809139638197
5,5,7,0.31074949230715204
5,5,8,0.3188771390146435
5,5,9,0.32365318422089867
5,6,3,0.3347716681167443
5,6,4,0.2748445824480985
5,6,5,0.29281405516873393
5,6,6,0.28947916252177536
5,6,7,0.2700419478542302
5,6,8,0.2928586592721892
5,6,9,0.2928586592721892
5,7,3,0.3360810480243262
5,7,4,0.3352601703328798
5,7,5,0.2950365585618785
5,7,6,0.30454342543912394
5,7,7,0.30454342543912394
5,7,8,0.3048537454305313
5,7,9,0.30454342543912394
5,8,3,0.2929477520821318
5,8,4,0.2929730920749124
5,8,5,0.2911691154827469
5,8,6,0.2958722610348095
5,8,7,0.3116319987924584
5,8,8,0.26966958225574067
5,8,9,0.2719920064032609
5,9,3,0.28263489527489033
5,9,4,0.2949401961287924
5,9,5,0.2932810683157303
5,9,6,0.25219883816276456
5,9,7,0.28646546099699643
5,9,8,0.27087349601659083
5,9,9,0.30705337259417714
6,3,3,0.3661971001621909
6,3,4,0.3680527457594979
6,3,5,0.36721771664223374
6,3,6,0.36721771664223374
6,3,7,0.36721771664223374
6,3,8,0.36721771664223374
6,3,9,0.36721771664223374
6,4,3,0.3078661862251427
6,4,4,0.3087360633158008
6,4,5,0.3086640938834365
6,4,6,0.309055756647492
6,4,7,0.31380478648921784
6,4,8,0.29811308147018584
6,4,9,0.2982097631577939
6,5,3,0.30928849631523087
6,5,4,0.3219872529391211
6,5,5,0.32344722337282916
6,5,6,0.32231295145080424
6,5,7,0.32231295145080424
6,5,8,0.32231295145080424
6,5,9,0.32231295145080424
6,6,3,0.2705322198484446
6,6,4,0.27175179256350285
6,6,5,0.27175179256350285
6,6,6,0.3130359963666965
6,6,7,0.24984324555215404
6,6,8,0.31282603512542206
6,6,9,0.2822661642525859
6,7,3,0.3104658927551964
6,7,4,0.31228431028889
6,7,5,0.3365769968384398
6,7,6,0.27057680150050983
6,7,7,0.33746906557020073
6,7,8,0.32775831824854107
6,7,9,0.2810585257763078
6,8,3,0.2966208941966742
6,8,4,0.31018762676267414
6,8,5,0.309105487219467
6,8,6,0.3030383894365875
6,8,7,0.2588637033959213
6,8,8,0.30375716080384413
6,8,9,0.2749186828491373
6,9,3,0.2795780731077556
6,9,4,0.29076184899019786
6,9,5,0.2957356918521086
6,9,6,0.287220421811667
6,9,7,0.31103316239864
6,9,8,0.296963800267929
6,9,9,0.24615378356239545
7,3,3,0.3598426160727566
7,3,4,0.36044386148858804
7,3,5,0.36200684055751486
7,3,6,0.36302044291144736
7,3,7,0.3653004937136158
7,3,8,0.36721771664223374
7,3,9,0.36721771664223374
7,4,3,0.2814710152226452
7,4,4,0.2962811611815356
7,4,5,0.2962811611815356
7,4,6,0.29757439261517166
7,4,7,0.2860984214680685
7,4,8,0.29775495661434676
7,4,9,0.2977749630222546
7,5,3,0.24176721210651272
