GSRN,cluster
570714700000000157,2
570714700000000317,2
570714700000000324,2
570714700000000331,2
570714700000000348,0
570714700000000355,2
570714700000000362,2
570714700000000379,0
570714700000000850,2
570714700000000881,2
570714700000000966,2
570714700000000997,2
570714700000001048,0
570714700000001079,2
570714700000002090,2
570714700000002137,2
570714700000002144,2
570714700000002151,1
570714700000002168,1
570714700000002175,0
570714700000002182,2
570714700000002199,2
570714700000002205,2
570714700000002304,0
570714700000002311,0
570714700000002489,0
570714700000002496,0
570714700000002502,0
570714700000002786,0
570714700000002830,2
570714700000002847,0
570714700000002854,0
570714700000003134,2
570714700000003165,2
570714700000003219,2
570714700000003233,2
570714700000003240,2
570714700000003257,2
570714700000003264,2
570714700000003271,2
570714700000003288,2
570714700000003295,2
570714700000003301,2
570714700000003318,2
570714700000003356,0
570714700000003363,0
570714700000003370,2
570714700000003387,2
570714700000003394,2
570714700000003400,0
570714700000003417,3
570714700000003431,0
570714700000003479,0
570714700000003486,2
570714700000003493,2
570714700000003585,1
570714700000004384,2
570714700000004469,1
570714700000004513,2
570714700000004568,1
570714700000004605,2
570714700000004704,1
570714700000004728,1
570714700000004735,2
570714700000004742,2
570714700000004759,2
570714700000004810,1
570714700000004940,1
570714700000004964,1
570714700000004995,1
570714700000005039,1
570714700000005053,1
570714700000005060,1
570714700000005091,1
570714700000005107,0
570714700000005114,2
570714700000005121,0
570714700000005138,0
570714700000005213,2
570714700000005251,0
570714700000005268,2
570714700000005275,3
570714700000005282,2
570714700000005299,2
570714700000005305,2
570714700000005312,2
570714700000005336,2
570714700000005343,2
570714700000005350,2
570714700000005367,2
570714700000005374,2
570714700000005381,2
570714700000005404,0
570714700000005411,3
570714700000005428,0
570714700000005435,2
570714700000005442,2
570714700000005466,2
570714700000005473,2
570714700000005480,2
570714700000005497,2
570714700000005503,1
570714700000005619,1
570714700000005626,1
570714700000005817,1
570714700000005886,1
570714700000005923,1
570714700000005961,1
570714700000005978,1
570714700000006029,1
570714700000006067,1
570714700000006074,1
570714700000006081,1
570714700000006258,1
570714700000006289,1
570714700000006296,1
570714700000006333,1
570714700000006876,1
570714700000006890,1
570714700000006982,1
570714700000007194,1
570714700000007637,1
570714700000007651,1
570714700000007682,1
570714700000007828,1
570714700000007934,1
570714700000008016,1
570714700000008092,1
570714700000008146,1
570714700000008252,1
570714700000008450,1
570714700000008474,1
570714700000008627,1
570714700000008702,1
570714700000008757,1
570714700000008764,1
570714700000008955,1
570714700000008962,1
570714700000009037,1
570714700000009273,1
570714700000009280,1
570714700000009419,2
570714700000009426,1
570714700000009556,1
570714700000009587,2
570714700000009648,2
570714700000009655,2
570714700000009662,0
570714700000009785,0
570714700000009808,2
570714700000009914,0
570714700000009938,0
570714700000009945,2
570714700000009952,1
570714700000010163,2
570714700000010170,2
570714700000010194,2
570714700000010200,2
570714700000010217,2
570714700000010590,0
570714700000010606,0
570714700000010613,0
570714700000010620,0
570714700000010637,0
570714700000010644,0
570714700000010750,1
570714700000010767,1
570714700000010774,0
570714700000010804,0
570714700000010811,0
570714700000010835,3
570714700000010842,0
570714700000010859,0
570714700000010897,2
570714700000010903,0
570714700000010934,1
570714700000010958,0
