n_clients,k_global,crounds,silhouette
3,3,2,0.6246997946638462
3,3,3,0.6246997946638462
3,3,4,0.6246997946638462
3,3,5,0.6246997946638462
3,3,6,0.6246997946638462
3,3,7,0.6246997946638462
3,4,2,0.6588349692920975
3,4,3,0.6588349692920975
3,4,4,0.6588349692920975
3,4,5,0.6588349692920975
3,4,6,0.6945166091745181
3,4,7,0.6588349692920975
3,5,2,0.34655255874469154
3,5,3,0.5962066303034304
3,5,4,0.555224764499026
3,5,5,0.6634119385454247
3,5,6,0.6634119385454247
3,5,7,0.42503770747551267
4,3,2,0.2739118438216322
4,3,3,0.47369988961742865
4,3,4,0.6185469505161947
4,3,5,0.6311184693907389
4,3,6,0.7858198512224521
4,3,7,0.7858198512224521
4,4,2,0.3041012056383676
4,4,3,0.6945166091745181
4,4,4,0.6588349692920975
4,4,5,0.5843549554080454
4,4,6,0.5843549554080454
4,4,7,0.6945166091745181
4,5,2,0.37626940853404944
4,5,3,0.35399630228020634
4,5,4,0.36748095197702163
4,5,5,0.6634119385454247
4,5,6,0.5962066303034304
4,5,7,0.6634119385454247
5,3,2,0.7858198512224521
5,3,3,0.7858198512224521
5,3,4,0.7858198512224521
5,3,5,0.7858198512224521
5,3,6,0.7858198512224521
5,3,7,0.7858198512224521
5,4,2,0.6945166091745181
5,4,3,0.2837786767682533
5,4,4,0.6945166091745181
5,4,5,0.6588349692920975
5,4,6,0.6588349692920975
5,4,7,0.6588349692920975
5,5,2,0.34655255874469154
5,5,3,0.34655255874469154
5,5,4,0.34655255874469154
5,5,5,0.34655255874469154
5,5,6,0.31744326200876105
5,5,7,0.33813411138257005
6,3,2,0.7858198512224521
6,3,3,0.7858198512224521
6,3,4,0.7858198512224521
6,3,5,0.7858198512224521
6,3,6,0.7858198512224521
6,3,7,0.7858198512224521
6,4,2,0.6945166091745181
6,4,3,0.6588349692920975
6,4,4,0.6945166091745181
6,4,5,0.6588349692920975
6,4,6,0.6945166091745181
6,4,7,0.6945166091745181
6,5,2,0.2938187399077793
6,5,3,0.3100656471509756
6,5,4,0.34655255874469154
6,5,5,0.37626940853404944
6,5,6,0.36748095197702163
6,5,7,0.3646794604419199
7,3,2,0.7858198512224521
7,3,3,0.6246997946638462
7,3,4,0.7858198512224521
7,3,5,0.7858198512224521
7,3,6,0.7858198512224521
7,3,7,0.7858198512224521
7,4,2,0.2839325054133126
7,4,3,0.6588349692920975
7,4,4,0.6588349692920975
7,4,5,0.6573010160307505
7,4,6,0.6588349692920975
7,4,7,0.6945166091745181
7,5,2,0.6634119385454247
7,5,3,0.6634119385454247
7,5,4,0.32172331016043393
7,5,5,0.34655255874469154
7,5,6,0.2983930423751325
7,5,7,0.3615723581542432
