GSRN,Capacity_kw,mean_power,std_power,cv,zero_ratio,ramp_mean,ramp_std,mean_power_scaled,std_power_scaled,cv_scaled,ramp_mean_scaled,ramp_std_scaled
570714700000000140,660.0000,123.6282,177.3256,1.4343,0.3548,0.0171,58.6510,-0.3084,-0.1840,-0.0057,0.7234,-0.1983
570714700000000157,660.0000,134.0462,170.9980,1.2757,0.2666,0.0030,65.2574,-0.2729,-0.2081,-0.0612,0.3724,-0.1303
570714700000000317,660.0000,110.9197,139.2738,1.2556,0.1346,0.0047,45.0494,-0.3518,-0.3293,-0.0683,0.4148,-0.3385
570714700000000324,660.0000,103.4258,135.3497,1.3087,0.1533,0.0024,45.4840,-0.3773,-0.3443,-0.0497,0.3573,-0.3341
570714700000000331,660.0000,102.1115,134.7164,1.3193,0.1679,-0.0062,44.5871,-0.3818,-0.3467,-0.0460,0.1436,-0.3433
570714700000000348,660.0000,102.7356,135.4029,1.3180,0.1677,-0.0144,44.1937,-0.3797,-0.3441,-0.0464,-0.0597,-0.3474
570714700000000355,660.0000,122.1521,148.7741,1.2179,0.1135,-0.0057,47.5553,-0.3135,-0.2930,-0.0814,0.1557,-0.3127
570714700000000362,660.0000,119.8371,146.6536,1.2238,0.1104,-0.0060,47.7507,-0.3214,-0.3011,-0.0794,0.1504,-0.3107
570714700000000379,500.0000,77.8689,105.2168,1.3512,0.3335,-0.0107,33.9353,-0.4645,-0.4593,-0.0348,0.0330,-0.4531
570714700000000850,450.0000,83.5558,98.5528,1.1795,0.1497,-0.0078,31.7514,-0.4451,-0.4848,-0.0949,0.1047,-0.4756
570714700000000881,500.0000,89.9360,109.5509,1.2181,0.1697,-0.0067,35.6620,-0.4233,-0.4428,-0.0814,0.1329,-0.4353
570714700000000966,450.0000,150.4894,195.4668,1.2989,0.2081,-0.0082,61.2405,-0.2168,-0.1147,-0.0531,0.0951,-0.1717
570714700000000997,450.0000,92.1718,105.3303,1.1428,0.1418,-0.0071,35.6180,-0.4157,-0.4589,-0.1077,0.1227,-0.4357
570714700000001048,600.0000,86.8291,119.4710,1.3759,0.2640,-0.0156,38.1422,-0.4339,-0.4049,-0.0262,-0.0892,-0.4097
570714700000001079,600.0000,86.5421,114.2494,1.3202,0.1964,0.0021,35.9815,-0.4349,-0.4248,-0.0457,0.3508,-0.4320
570714700000002090,450.0000,102.2720,110.3473,1.0790,0.1014,-0.0012,32.6140,-0.3813,-0.4397,-0.1301,0.2678,-0.4667
570714700000002137,500.0000,82.6898,107.8585,1.3044,0.1645,-0.0037,34.4552,-0.4481,-0.4492,-0.0512,0.2068,-0.4477
570714700000002144,500.0000,83.5768,107.9892,1.2921,0.1559,-0.0041,34.1825,-0.4450,-0.4488,-0.0555,0.1959,-0.4505
570714700000002151,250.0000,38.3204,46.9292,1.2247,0.0940,-0.0024,16.0067,-0.5994,-0.6819,-0.0791,0.2383,-0.6379
570714700000002168,400.0000,47.9327,79.4563,1.6577,0.4260,-0.0117,24.0130,-0.5666,-0.5577,0.0724,0.0085,-0.5554
570714700000002175,400.0000,70.2694,83.9612,1.1948,0.1199,-0.0117,25.8732,-0.4904,-0.5405,-0.0895,0.0089,-0.5362
570714700000002182,500.0000,107.0224,115.5681,1.0798,0.1234,-0.0036,36.0854,-0.3651,-0.4198,-0.1298,0.2087,-0.4309
570714700000002199,500.0000,111.0794,122.6459,1.1041,0.1303,-0.0068,38.6250,-0.3512,-0.3928,-0.1213,0.1302,-0.4047
570714700000002205,500.0000,107.1127,122.4823,1.1435,0.1807,-0.0040,42.0553,-0.3648,-0.3934,-0.1075,0.1982,-0.3694
570714700000002304,500.0000,106.6560,119.3110,1.1187,0.1811,-0.0124,38.1937,-0.3663,-0.4055,-0.1162,-0.0096,-0.4092
570714700000002311,500.0000,112.2420,122.7683,1.0938,0.1806,-0.0129,39.0186,-0.3473,-0.3923,-0.1249,-0.0230,-0.4007
570714700000002489,600.0000,120.4946,138.6975,1.1511,0.0754,-0.0216,46.3501,-0.3191,-0.3315,-0.1048,-0.2382,-0.3251
570714700000002496,600.0000,115.0730,132.0715,1.1477,0.0682,-0.0185,44.5540,-0.3376,-0.3568,-0.1060,-0.1606,-0.3436
570714700000002502,600.0000,117.3644,137.7559,1.1737,0.0576,-0.0270,48.4053,-0.3298,-0.3351,-0.0969,-0.3720,-0.3039
570714700000002786,600.0000,97.1487,131.1940,1.3504,0.2646,-0.0332,44.1335,-0.3987,-0.3601,-0.0351,-0.5272,-0.3480
570714700000002830,750.0000,126.5581,142.1235,1.1230,0.0538,-0.0065,44.7202,-0.2984,-0.3184,-0.1147,0.1377,-0.3419
570714700000002847,750.0000,134.4442,153.4729,1.1415,0.0548,-0.0145,51.6479,-0.2715,-0.2751,-0.1082,-0.0608,-0.2705
570714700000002854,600.0000,127.6730,148.3988,1.1623,0.1931,-0.0214,46.9593,-0.2946,-0.2944,-0.1009,-0.2343,-0.3188
570714700000003134,600.0000,124.9726,147.2407,1.1782,0.1005,0.0092,49.1967,-0.3038,-0.2989,-0.0954,0.5260,-0.2958
570714700000003165,550.0000,88.4908,121.6933,1.3752,0.2172,-0.0024,38.3667,-0.4283,-0.3964,-0.0264,0.2376,-0.4074
570714700000003219,600.0000,101.2713,118.5638,1.1708,0.0877,-0.0042,48.8877,-0.3847,-0.4084,-0.0980,0.1943,-0.2990
570714700000003226,2000.0000,374.2894,444.6456,1.1880,0.0842,0.0116,160.5256,0.5465,0.8369,-0.0919,0.5877,0.8517
570714700000003233,750.0000,103.9999,131.8780,1.2681,0.1208,0.0023,43.5357,-0.3754,-0.3575,-0.0639,0.3559,-0.3541
570714700000003240,750.0000,106.0303,136.9453,1.2916,0.0979,0.0090,44.6046,-0.3685,-0.3382,-0.0557,0.5208,-0.3431
570714700000003257,750.0000,107.2441,135.0418,1.2592,0.0926,0.0116,45.7287,-0.3643,-0.3454,-0.0670,0.5865,-0.3315
