GSRN,grid,grid_distance
570714700000000140,652,4528.744307200396
570714700000000157,652,4687.888757212569
570714700000000317,696,7072.2591864269225
570714700000000324,696,7038.478599811184
570714700000000331,696,7006.883758133854
570714700000000348,738,6145.0
570714700000000355,738,6273.235289704986
570714700000000362,738,6402.869122510627
570714700000000379,696,6227.569670425213
570714700000000850,817,9107.598256401081
570714700000000881,817,4195.052233286212
570714700000000966,820,2670.1793366738398
570714700000000997,818,2884.057555220886
570714700000001048,818,7831.44165390825
570714700000001079,818,4414.004558221507
570714700000002090,689,3713.6447056766215
570714700000002137,775,2873.865828256491
570714700000002144,775,2974.364885416075
570714700000002151,775,8912.390027372006
570714700000002168,775,8430.875933140043
570714700000002175,775,8668.886549032695
570714700000002182,817,1178.9881254703118
570714700000002199,817,1354.4168486843332
570714700000002205,817,1535.7356543363835
570714700000002304,650,9761.774484616855
570714700000002311,650,9898.2818174337
570714700000002489,775,2380.946450468805
570714700000002496,775,2410.014315310181
570714700000002502,775,2173.044178105912
570714700000002786,734,7523.501844221213
570714700000002830,775,6741.71639866288
570714700000002847,775,6039.492114408296
570714700000002854,606,5651.25472793432
570714700000003134,820,5272.596515000915
570714700000003165,820,5524.061658779708
570714700000003219,650,8527.332642743568
570714700000003226,820,7354.2952626339165
570714700000003233,818,3546.100568843555
570714700000003240,818,3658.6469459416235
570714700000003257,818,3778.4927219572796
570714700000003264,818,6115.062901557069
570714700000003271,818,6223.886246550481
570714700000003288,818,8355.514900351744
570714700000003295,818,8307.096971264977
570714700000003301,819,2826.187306248466
570714700000003318,819,2913.8020797576464
570714700000003349,817,2802.0114203907165
570714700000003356,817,2936.6974648403943
570714700000003363,817,3072.984243369976
570714700000003370,861,6121.874774936211
570714700000003387,861,6028.399037887234
570714700000003394,861,5936.22986751697
570714700000003400,861,4859.895555462094
570714700000003417,861,4771.741740706472
570714700000003424,606,4724.516694858851
570714700000003431,650,2373.5643026462994
570714700000003479,861,8235.573456657421
570714700000003486,861,8353.851121488835
570714700000003493,861,8473.825757000215
570714700000003523,820,7307.200528246071
570714700000003530,820,7756.943032535456
570714700000003585,737,7405.8234518519275
570714700000004384,652,4850.384417754947
570714700000004469,694,4390.532541731128
570714700000004476,694,4230.716369599834
570714700000004513,694,8186.566618552615
570714700000004520,735,8086.334460062853
570714700000004568,736,4028.1600017874166
570714700000004575,736,9138.85184254565
570714700000004605,694,8210.117721445898
570714700000004704,735,8894.187427753026
570714700000004728,736,7450.196306138517
570714700000004735,736,4531.359619363707
570714700000004742,736,4660.702307592709
570714700000004759,736,4791.553088508986
570714700000004810,736,426.4141179651537
570714700000004940,696,6213.805999546494
570714700000004964,695,3880.516460472755
570714700000004995,696,7243.718451182376
570714700000005039,737,5176.837837908389
570714700000005053,737,7348.876512773908
570714700000005060,737,8134.458125775804
570714700000005091,779,7538.657241180289
570714700000005107,780,5738.984230680548
570714700000005114,780,5857.390886734468
570714700000005121,780,5973.908352159414
570714700000005138,780,6091.666849065205
570714700000005213,736,8417.639557369845
570714700000005251,818,6568.11249979778
570714700000005268,818,6546.410026877348
570714700000005275,818,6521.683659914813
570714700000005282,820,6022.425930636213
570714700000005299,820,6127.25925679663
570714700000005305,820,6230.399416570292
570714700000005312,818,5837.037735274317
570714700000005329,818,5905.723814194577
570714700000005336,818,8082.017872412784
570714700000005343,818,6030.759666907633
570714700000005350,818,8180.20808109427
570714700000005367,818,5867.282164682384
570714700000005374,818,5947.2298391772165
570714700000005381,818,8286.445754362985
570714700000005404,818,8424.557829099225
570714700000005411,776,8259.668609559334
570714700000005428,776,8256.288611718906
570714700000005435,820,5208.0245669543065
570714700000005442,820,5478.706449518919
570714700000005466,818,7896.2560826930685
570714700000005473,818,6997.09680438963
570714700000005480,818,6826.396871703256
570714700000005497,818,6659.2397621650325
570714700000005503,778,4161.962998393907
570714700000005619,817,1842.6127753816938
570714700000005626,817,6837.307075157604
570714700000005817,860,7410.364919489504
570714700000005886,821,6204.1373753095695
570714700000005923,863,7070.844874553579
570714700000005961,861,7946.281626647741
570714700000005978,861,7631.638110523847
570714700000006029,779,7553.161934580786
570714700000006067,861,6057.898448306964
570714700000006074,861,6043.481195470034
570714700000006081,860,11054.853142398591
570714700000006258,777,3442.9192497065815
570714700000006289,821,8357.349676183214
570714700000006296,779,8604.28864520483
570714700000006333,818,8045.466087182268
570714700000006876,647,7495.024374259535
570714700000006890,606,7943.441262350893
570714700000006982,733,1154.7542083690219
570714700000007194,733,2963.0242971627827
570714700000007637,816,4641.215788993224
570714700000007651,649,10363.284330264129
570714700000007682,733,8876.268039958242
570714700000007828,650,3314.7653548878325
570714700000007927,734,6324.094427648998
570714700000007934,689,2648.569180745235
570714700000008016,648,9281.130329317284
570714700000008092,775,7454.772057305382
570714700000008146,691,4773.219164752905
570714700000008252,735,11019.170246581303
570714700000008450,735,4566.6111871779685
570714700000008474,775,6190.270742345364
570714700000008627,649,7757.138832948004
570714700000008702,647,9784.933044555271
570714700000008757,775,8741.890471679706
570714700000008764,650,8720.66425611818
570714700000008955,689,4184.2982235250975
570714700000008962,775,6066.288964375218
570714700000009037,689,2496.8804098253613
570714700000009273,733,6937.877605246185
570714700000009280,733,6870.43698367623
570714700000009419,606,8386.657359514267
570714700000009426,648,5284.212773355149
570714700000009556,775,3881.2801643908247
570714700000009587,775,2711.4021740628255
570714700000009648,693,5199.550528951109
570714700000009655,693,5082.3837559865215
570714700000009662,693,4964.191241284807
570714700000009785,732,8649.130050685568
570714700000009808,648,8438.306853946444
570714700000009914,650,10029.222620740251
570714700000009938,693,5050.821312821196
570714700000009945,693,5127.632079434803
570714700000009952,733,6950.122004364343
570714700000010163,689,2772.0324361917956
570714700000010170,689,2878.9460084916363
570714700000010194,775,5357.6622178215885
570714700000010200,775,5468.606729834245
570714700000010217,775,5412.525576991614
570714700000010590,651,6541.728675051534
570714700000010606,775,7302.129562102126
570714700000010613,775,7458.964193755449
570714700000010620,775,7614.529603961561
570714700000010637,775,7512.003069622834
570714700000010644,775,7723.1383657336255
570714700000010750,694,7880.751511779315
570714700000010767,694,7881.722125678623
570714700000010774,606,7505.6413111465345
570714700000010804,606,7627.406214719401
570714700000010811,648,8021.349713012276
570714700000010835,775,2548.680438840117
570714700000010842,775,2693.005615046412
570714700000010859,775,2847.838174127582
570714700000010897,693,5736.930639656387
570714700000010903,691,8205.141484429812
570714700000010934,775,8861.760740700509
570714700000010958,649,11158.119303064215
570714700000010965,649,11167.503539082232
570714700000010972,649,11176.739341481223
570714700000010989,650,8573.07248704471
570714700000011139,733,4801.270821829173
570714700000011153,775,10833.143569320804
570714700000011160,775,10688.430425296965
570714700000011177,775,7949.941268189816
570714700000011184,775,8124.339428030533
570714700000011207,606,5809.896941544007
570714700000011214,606,5490.007694134993
570714700000011221,733,4779.254808001043
570714700000011238,775,6819.156810982773
570714700000011245,775,6088.332154210393
570714700000011252,734,7689.342597347694
570714700000011269,734,7349.32600744234
570714700000011276,775,4384.9873413992145
570714700000011689,732,8750.397362384094
570714700000011696,732,8854.842045531279
570714700000011719,775,3511.07640444705
570714700000011726,733,4579.07921380283
570714700000011733,733,4975.029567584068
570714700000011771,650,2839.895350137283
570714700000011788,650,2839.2319115626433
570714700000011795,650,2779.2502546508354
570714700000011801,650,2748.830653388613
570714700000011818,650,2740.3207944239207
570714700000011825,693,8958.711991926471
570714700000011832,693,8791.78597077936
570714700000011849,734,7862.233995969964
570714700000011856,734,8034.788209234101
570714700000011863,734,8207.877561776291
570714700000011870,775,4311.712976902369
570714700000011887,733,6923.472973636976
570714700000011894,733,7029.857727256657
570714700000011900,735,11030.292050918017
570714700000012204,775,8147.0965937307155
570714700000012211,733,1772.14509956974
570714700000012228,733,1647.7289028519895
570714700000012235,733,1525.2783198122513
570714700000012242,734,4611.606411772723
570714700000012259,733,9074.105788801417
570714700000012266,733,9195.30141964995
570714700000012273,775,4298.618503748513
570714700000012280,734,10069.020824264268
570714700000012297,692,9946.976639101733
570714700000012303,692,9720.063587599874
570714700000012327,734,6995.308735537065
570714700000012372,650,8352.83939968609
570714700000012389,650,8189.843155493766
570714700000012396,735,5257.789836130128
570714700000012402,734,7671.238879797696
570714700000012419,734,7679.457655103103
570714700000012426,733,4631.9199846123365
570714700000012433,691,6405.963448828508
570714700000012440,691,6286.314371634228
570714700000012457,691,6170.791854697577
570714700000012495,739,1749.911140601145
570714700000012501,780,5086.2958034310195
570714700000012518,776,7854.777972673703
570714700000012525,820,4700.652636602729
570714700000012532,861,6688.030125530215
570714700000012549,861,6603.429197015722
570714700000012556,861,6523.891580950722
570714700000012563,819,8198.618908694316
570714700000012570,778,8211.311442759932
570714700000012624,817,3364.986543806641
570714700000012631,778,8097.235590619813
570714700000012648,778,8325.900314080176
570714700000012655,861,4692.207315326079
570714700000012693,775,6799.697368033698
570714700000012709,775,6754.491920760343
570714700000012716,775,6865.824073509077
570714700000012778,606,4491.893115607004
570714700000012785,606,4608.833754880448
570714700000012792,650,2472.510717238339
570714700000012808,650,2612.4426542565798
570714700000012815,650,2734.350537804431
570714700000012839,733,7693.26347902419
570714700000012846,733,7848.158073337589
570714700000012853,648,8582.26921647398
570714700000012860,648,8435.034042072446
570714700000012877,648,6289.330926826689
570714700000012884,648,6405.692656937155
570714700000012891,776,8064.146973837557
570714700000012907,817,3865.2720473467325
570714700000012914,817,3989.7117051235214
570714700000012921,817,4115.20631439059
570714700000013034,820,7265.944304768605
570714700000013041,820,7838.861861903122
570714700000013058,820,7795.711244652432
570714700000013096,821,8710.742476390824
570714700000013102,821,8877.118670492167
570714700000013119,779,8846.673423383478
570714700000013126,780,3984.858466746341
570714700000013133,780,3800.0813149194582
570714700000013188,734,5302.052790897193
570714700000013201,775,6996.454923885729
570714700000013218,775,7139.005639095835
570714700000013232,650,7749.757476445865
570714700000013249,650,7768.048793495554
570714700000013270,817,1792.1216476567656
570714700000013287,817,1894.6808596700469
570714700000013294,819,6851.003179097222
570714700000013300,819,6899.9553621744535
570714700000013317,819,6953.3031718745015
570714700000013324,820,2299.7030786603736
570714700000013331,820,2444.8450850718173
570714700000013348,820,2590.221073576521
570714700000013355,819,9753.46384829517
570714700000013362,819,9988.974932894746
570714700000013379,819,10223.214345791619
570714700000013386,778,7387.196447909059
570714700000013393,778,7513.337806860543
570714700000013409,778,7640.253409409911
570714700000013430,650,9341.894781329247
570714700000013485,775,6841.956901767923
570714700000013515,734,2462.11941751416
570714700000013621,693,9094.550404231497
570714700000013638,734,4902.214492503005
570714700000013669,648,6157.990951610169
570714700000013676,648,8286.937974053431
570714700000013812,692,5775.91939180509
570714700000013829,692,5684.774379888225
570714700000013836,734,3673.8763153548143
570714700000013843,734,3657.2038781731967
570714700000013881,734,10041.24894128072
570714700000013898,734,10239.788863012474
570714700000013904,650,6794.165714272726
570714700000013911,650,6732.280112686088
570714700000013928,650,6536.554523778441
570714700000013935,733,2053.8806754103775
570714700000013942,733,1906.9547006765085
570714700000013959,733,10843.080901699683
