GSRN,Cluster
571313174116253585,2
570714700000106958,2
570714700000004575,2
570714700000004605,2
570714700000004568,2
570714700000005213,2
570714700000004810,2
570714700000004964,2
570714700000004513,2
570715000000107078,2
570714700000106699,2
570714700000106682,2
570714700000005060,2
570714700000004476,2
570714700000004469,2
570714700000004735,2
570714700000004742,2
570714700000004759,2
570714700000003585,2
570714700000011825,2
570714700000011832,2
570714700000005053,2
570714700000004520,2
570714700000010750,2
570714700000010767,2
570714700000004728,2
570714700000004704,2
570714700000012396,2
570714700000005039,2
570714700000009648,2
570714700000009655,2
570714700000009945,2
570714700000009938,2
570714700000009662,2
570714700000014284,2
570714700000014291,2
570714700000014307,2
570715000000091681,2
570714700000010897,2
570714700000014314,0
570714700000014321,0
570714700000005091,0
570714700000005503,0
570714700000014338,0
570714700000004995,2
570714700000000379,2
570714700000004940,2
570715000000128905,2
570714700000000362,2
570714700000000355,2
570714700000000348,2
570715000000088643,2
570715000000088667,2
570714700000000317,2
570714700000000324,2
570714700000000140,2
570714700000000157,2
570714700000000331,2
570714700000004384,2
570714700000008450,2
570714700000013621,2
570714700000006258,0
570714700000012631,0
570714700000012570,0
570714700000012648,0
570714700000013386,0
570714700000013393,0
570714700000013409,0
570714700000012327,2
570714700000006296,0
570714700000005138,2
570714700000005121,2
570715000000125669,0
570714700000005114,2
570714700000005107,2
570715000000125706,0
570715000000125652,0
570714700000008252,0
570714700000011900,0
570715000000125683,0
570715000000125638,0
570714700000013119,0
570714700000013188,1
570714700000013898,0
570714700000013102,0
570714700000006029,0
570714700000013881,0
570714700000013096,0
571313161170169709,2
570714700000003530,0
571313161170169150,2
570714700000006289,0
570714700000013058,0
570714700000013041,0
571313161170169785,2
570714700000012242,1
570714700000013034,0
570714700000003523,0
570714700000003226,0
570714700000012501,2
570715000000125621,0
570714700000010590,2
570714700000013126,2
570714700000013133,2
570715000000125614,0
571313174001641268,2
570715000000125591,0
571313174001641251,2
570715000000125546,0
571313174001641244,2
570715000000125539,0
570714700000013379,0
570714700000013362,0
571313174001641237,2
570714700000005886,0
570714700000013355,0
570714700000012525,0
570714700000013515,1
571313174001641220,2
570714700000003219,2
570714700000012372,2
570715000000084652,0
570714700000013638,1
570714700000012389,2
571313174000780944,0
570714700000012419,1
570715000000084607,0
571313174000780951,0
570714700000012402,1
570714700000010989,2
570714700000013348,0
570714700000013331,0
570714700000013324,0
570714700000011269,1
570714700000002786,1
570714700000013317,0
570714700000011252,1
570714700000013300,0
570715000000083464,0
570714700000011849,1
570714700000013294,0
570714700000013904,2
570714700000011856,1
570714700000014178,2
570714700000013911,2
570714700000011863,1
570714700000013928,2
570714700000013843,1
570714700000013836,1
570714700000003165,0
570714700000000966,0
570714700000012495,2
571313174001764448,2
570714700000007927,1
570714700000012303,1
570714700000012297,1
570714700000012280,1
570714700000009914,2
570714700000002311,2
570714700000002304,2
570714700000013829,1
570714700000013812,1
570714700000005442,0
570714700000003134,0
570714700000005435,0
570714700000013430,1
570714700000003301,0
570714700000003318,0
570714700000008764,2
570714700000005282,0
570714700000012846,1
570714700000011818,2
570714700000005299,0
570714700000012839,1
570714700000011801,2
570714700000005305,0
570714700000011795,2
570714700000011788,2
570714700000003431,2
570714700000011771,2
570714700000007828,2
570714700000012792,2
570714700000012808,2
570714700000012815,2
571313174000602154,0
570714700000012518,0
571313174000602147,0
570714700000005466,0
571313174000602130,0
571313174000602109,0
571313174000602116,0
571313174000602123,0
570714700000005428,0
570714700000005411,0
570714700000005404,0
570714700000013249,2
570714700000013232,2
570714700000012563,0
570714700000005381,0
570714700000005350,0
570714700000005336,0
570714700000009273,1
570714700000009280,1
570714700000010903,1
570714700000012891,0
570714700000011894,1
570714700000011887,1
570714700000012433,1
570714700000012440,1
570714700000014239,0
570714700000014222,0
570714700000012457,1
570714700000014215,0
570714700000005367,0
570714700000005374,0
570714700000005343,0
571313174000839574,0
571313174000839604,0
570714700000007194,1
571313174000839611,0
570714700000001048,0
570714700000001079,0
570714700000003257,0
570714700000005329,0
570714700000008092,1
570714700000003240,0
570714700000005312,0
570714700000003233,0
570714700000005923,0
570714700000008627,1
570714700000003295,0
570714700000003370,0
570714700000012556,0
570714700000012549,0
570714700000012532,0
570714700000003288,0
570714700000003387,0
570714700000003394,0
570714700000006982,1
570714700000012235,1
570714700000105883,1
570714700000012228,1
571313174000828844,0
570714700000011870,1
570714700000012211,1
570714700000008962,1
570714700000011726,1
570714700000011221,1
570714700000013942,1
570714700000009556,1
570714700000011733,1
570714700000012709,1
570714700000105838,0
570714700000013935,1
570714700000003400,0
570714700000105821,0
571313174000828837,0
570714700000105814,0
570714700000012693,1
570714700000003417,0
570714700000003493,0
570714700000012655,0
570714700000012716,1
570715000000088872,1
570714700000003486,0
570714700000003479,0
570715000000088865,1
570715000000088858,1
570714700000009952,1
570715000000088810,1
570714700000005497,0
570714700000012426,1
570714700000011139,1
570714700000005480,0
570714700000005473,0
570714700000012273,1
570714700000010194,1
570714700000010217,1
570714700000010200,1
570714700000011276,1
570714700000006081,0
570714700000000997,0
570714700000003264,0
570714700000003271,0
570714700000002502,1
570714700000011719,1
570714700000002489,1
570714700000006333,0
570714700000002496,1
570714700000000850,1
570714700000010835,1
570714700000010842,1
570714700000009587,1
571313174001657979,1
571313174001657962,1
571313174001657931,1
570714700000010859,1
570714700000002137,1
570714700000008146,1
570714700000002144,1
571313174000832759,1
571313174000832742,1
570714700000006074,0
571313174000832711,1
570714700000012259,1
570714700000006067,0
570714700000010637,1
570714700000012266,1
570714700000010644,1
570714700000005275,0
570714700000010606,1
570714700000010613,1
570714700000005268,0
570714700000010620,1
570714700000005251,0
570714700000005626,0
570714700000002847,1
570714700000005817,0
570714700000011245,1
570714700000012204,1
570714700000011184,1
570714700000007682,1
570714700000011177,1
570714700000011696,1
570714700000011689,1
570714700000009785,1
570714700000010934,1
570714700000002830,1
570715000000088513,0
570714700000011238,1
570714700000011160,1
570714700000011153,1
570714700000013959,1
570714700000000881,1
570714700000013966,1
570714700000013973,1
570714700000010958,1
570714700000007651,1
570714700000010965,1
570714700000010972,1
570714700000012624,0
570715000000161025,0
570715000000161001,0
570714700000012921,1
570714700000012914,1
570714700000012907,1
570714700000008474,1
570714700000013485,1
570715000000161018,0
570714700000003363,1
570714700000013201,1
570714700000003356,1
