GSRN,Cluster
571313174116253585,2
570714700000106958,2
570714700000004575,2
570714700000004605,2
570714700000004568,2
570714700000005213,2
570714700000004810,2
570714700000004964,2
570714700000004513,2
570715000000107078,2
570714700000106699,2
570714700000106682,2
570714700000005060,5
570714700000004476,2
570714700000004469,2
570714700000004735,2
570714700000004742,2
570714700000004759,2
570714700000003585,5
570714700000011825,2
570714700000011832,2
570714700000005053,5
570714700000004520,2
570714700000010750,2
570714700000010767,2
570714700000004728,2
570714700000004704,2
570714700000012396,2
570714700000005039,5
570714700000009648,2
570714700000009655,2
570714700000009945,2
570714700000009938,2
570714700000009662,2
570714700000014284,2
570714700000014291,2
570714700000014307,2
570715000000091681,5
570714700000010897,2
570714700000014314,2
570714700000014321,2
570714700000005091,0
570714700000005503,0
570714700000014338,2
570714700000004995,5
570714700000000379,5
570714700000004940,5
570715000000128905,2
570714700000000362,5
570714700000000355,5
570714700000000348,5
570715000000088643,2
570715000000088667,2
570714700000000317,5
570714700000000324,5
570714700000000140,2
570714700000000157,2
570714700000000331,5
570714700000004384,2
570714700000008450,2
570714700000013621,6
570714700000006258,0
570714700000012631,0
570714700000012570,0
570714700000012648,0
570714700000013386,0
570714700000013393,0
570714700000013409,0
570714700000012327,6
570714700000006296,0
570714700000005138,5
570714700000005121,5
570715000000125669,0
570714700000005114,5
570714700000005107,5
570715000000125706,0
570715000000125652,0
570714700000008252,1
570714700000011900,1
570715000000125683,0
570715000000125638,0
570714700000013119,0
570714700000013188,6
570714700000013898,1
570714700000013102,0
570714700000006029,5
570714700000013881,1
570714700000013096,0
571313161170169709,2
570714700000003530,0
571313161170169150,2
570714700000006289,0
570714700000013058,0
570714700000013041,0
571313161170169785,2
570714700000012242,6
570714700000013034,0
570714700000003523,0
570714700000003226,0
570714700000012501,5
570715000000125621,0
570714700000010590,6
570714700000013126,5
570714700000013133,5
570715000000125614,0
571313174001641268,6
570715000000125591,0
571313174001641251,6
570715000000125546,0
571313174001641244,6
570715000000125539,0
570714700000013379,0
570714700000013362,0
571313174001641237,6
570714700000005886,0
570714700000013355,0
570714700000012525,0
570714700000013515,6
571313174001641220,6
570714700000003219,6
570714700000012372,6
570715000000084652,0
570714700000013638,6
570714700000012389,6
571313174000780944,4
570714700000012419,1
570715000000084607,0
571313174000780951,4
570714700000012402,1
570714700000010989,6
570714700000013348,0
570714700000013331,0
570714700000013324,0
570714700000011269,6
570714700000002786,6
570714700000013317,0
570714700000011252,6
570714700000013300,0
570715000000083464,0
570714700000011849,6
570714700000013294,0
570714700000013904,6
570714700000011856,6
570714700000014178,6
570714700000013911,6
570714700000011863,6
570714700000013928,6
570714700000013843,1
570714700000013836,1
570714700000003165,0
570714700000000966,0
570714700000012495,5
571313174001764448,6
570714700000007927,1
570714700000012303,6
570714700000012297,6
570714700000012280,6
570714700000009914,6
570714700000002311,6
570714700000002304,6
570714700000013829,6
570714700000013812,6
570714700000005442,0
570714700000003134,0
570714700000005435,0
570714700000013430,6
570714700000003301,4
570714700000003318,4
570714700000008764,6
570714700000005282,0
570714700000012846,1
570714700000011818,6
570714700000005299,0
570714700000012839,1
570714700000011801,6
570714700000005305,0
570714700000011795,6
570714700000011788,6
570714700000003431,6
570714700000011771,6
570714700000007828,6
570714700000012792,6
570714700000012808,6
570714700000012815,6
571313174000602154,4
570714700000012518,4
571313174000602147,4
570714700000005466,4
571313174000602130,4
571313174000602109,4
571313174000602116,4
571313174000602123,4
570714700000005428,4
570714700000005411,4
570714700000005404,4
570714700000013249,6
570714700000013232,6
570714700000012563,4
570714700000005381,4
570714700000005350,4
570714700000005336,4
570714700000009273,1
570714700000009280,1
570714700000010903,6
570714700000012891,4
570714700000011894,1
570714700000011887,1
570714700000012433,6
570714700000012440,6
570714700000014239,4
570714700000014222,4
570714700000012457,6
570714700000014215,4
570714700000005367,4
570714700000005374,4
570714700000005343,4
571313174000839574,0
571313174000839604,0
570714700000007194,1
571313174000839611,0
570714700000001048,4
570714700000001079,4
570714700000003257,4
570714700000005329,4
570714700000008092,1
570714700000003240,4
570714700000005312,4
570714700000003233,4
570714700000005923,0
570714700000008627,6
570714700000003295,4
570714700000003370,0
570714700000012556,0
570714700000012549,0
570714700000012532,0
570714700000003288,4
570714700000003387,0
570714700000003394,0
570714700000006982,1
570714700000012235,1
570714700000105883,1
570714700000012228,1
571313174000828844,4
570714700000011870,1
570714700000012211,1
570714700000008962,1
570714700000011726,1
570714700000011221,1
570714700000013942,1
570714700000009556,1
570714700000011733,1
570714700000012709,1
570714700000105838,4
570714700000013935,1
570714700000003400,0
570714700000105821,4
571313174000828837,4
570714700000105814,4
570714700000012693,1
570714700000003417,0
570714700000003493,4
570714700000012655,0
570714700000012716,1
570715000000088872,1
570714700000003486,4
570714700000003479,4
570715000000088865,1
570715000000088858,1
570714700000009952,1
570715000000088810,1
570714700000005497,4
570714700000012426,1
570714700000011139,1
570714700000005480,4
570714700000005473,4
570714700000012273,1
570714700000010194,1
570714700000010217,1
570714700000010200,1
570714700000011276,1
570714700000006081,4
570714700000000997,4
570714700000003264,4
570714700000003271,4
570714700000002502,1
570714700000011719,1
570714700000002489,1
570714700000006333,4
570714700000002496,1
570714700000000850,4
570714700000010835,1
570714700000010842,1
570714700000009587,1
571313174001657979,1
571313174001657962,1
571313174001657931,1
570714700000010859,1
570714700000002137,1
570714700000008146,3
570714700000002144,1
571313174000832759,3
571313174000832742,3
570714700000006074,4
571313174000832711,3
570714700000012259,1
570714700000006067,4
570714700000010637,1
570714700000012266,1
570714700000010644,1
570714700000005275,4
570714700000010606,1
570714700000010613,1
570714700000005268,4
570714700000010620,1
570714700000005251,4
570714700000005626,4
570714700000002847,1
570714700000005817,4
570714700000011245,1
570714700000012204,1
570714700000011184,1
570714700000007682,1
570714700000011177,1
570714700000011696,1
570714700000011689,1
570714700000009785,1
570714700000010934,1
570714700000002830,1
570715000000088513,4
570714700000011238,1
570714700000011160,1
570714700000011153,1
570714700000013959,1
570714700000000881,4
570714700000013966,1
570714700000013973,1
570714700000010958,3
570714700000007651,3
570714700000010965,3
570714700000010972,3
570714700000012624,4
570715000000161025,0
570715000000161001,0
570714700000012921,4
570714700000012914,4
570714700000012907,4
570714700000008474,1
570714700000013485,1
570715000000161018,0
570714700000003363,4
570714700000013201,1
570714700000003356,4
