GSRN,Cluster
571313174116253585,4
570714700000106958,4
570714700000004575,4
570714700000004605,4
570714700000005213,4
570714700000004810,4
570714700000004513,4
570715000000107078,4
570714700000106699,2
570714700000106682,2
570714700000004476,4
570714700000004735,2
570714700000004742,2
570714700000004759,2
570714700000003585,2
570714700000011825,4
570714700000011832,4
570714700000005053,2
570714700000004520,4
570714700000010750,4
570714700000010767,4
570714700000004728,2
570714700000012396,5
570714700000005039,2
570714700000009648,4
570714700000009655,4
570714700000009945,4
570714700000009938,4
570714700000009662,4
570714700000014284,2
570714700000014291,2
570714700000014307,2
570715000000091681,4
570714700000010897,5
570714700000014314,2
570714700000014321,2
570714700000005091,2
570714700000005503,2
570714700000014338,2
570714700000004995,4
570714700000000379,4
570714700000004940,4
570715000000128905,4
570714700000000362,4
570714700000000355,4
570714700000000348,4
570715000000088643,4
570715000000088667,4
570714700000000317,4
570714700000000324,4
570714700000000140,4
570714700000000157,4
570714700000000331,4
570714700000004384,4
570714700000008450,5
570714700000013621,5
570714700000006258,2
570714700000012631,2
570714700000012570,2
570714700000012648,2
570714700000013386,2
570714700000013393,2
570714700000013409,2
570714700000012327,5
570714700000005138,2
570714700000005121,2
570715000000125669,2
570714700000005114,2
570714700000005107,2
570715000000125706,2
570715000000125652,2
570714700000011900,5
570715000000125683,2
570715000000125638,2
570714700000013119,2
570714700000013188,5
570714700000013898,5
570714700000013102,2
570714700000013881,5
570714700000013096,2
571313161170169709,4
570714700000003530,2
571313161170169150,4
570714700000006289,2
570714700000013058,2
570714700000013041,2
571313161170169785,4
570714700000012242,5
570714700000013034,2
570714700000003523,2
570714700000003226,2
570714700000012501,2
570715000000125621,2
570714700000010590,6
570714700000013126,2
570714700000013133,2
570715000000125614,2
571313174001641268,6
570715000000125591,2
571313174001641251,6
570715000000125546,2
571313174001641244,6
570715000000125539,2
570714700000013379,2
570714700000013362,2
571313174001641237,6
570714700000005886,2
570714700000013355,2
570714700000012525,2
570714700000013515,5
571313174001641220,6
570714700000003219,6
570714700000012372,6
570715000000084652,2
570714700000013638,5
570714700000012389,6
571313174000780944,1
570714700000012419,5
570715000000084607,2
571313174000780951,1
570714700000012402,5
570714700000010989,6
570714700000013348,2
570714700000013331,2
570714700000013324,2
570714700000011269,5
570714700000002786,5
570714700000013317,1
570714700000011252,5
570714700000013300,1
570714700000011849,5
570714700000013294,1
570714700000013904,6
570714700000011856,5
570714700000014178,6
570714700000013911,6
570714700000011863,5
570714700000013928,6
570714700000013843,5
570714700000013836,5
570714700000003165,2
570714700000000966,2
570714700000012495,4
571313174001764448,6
570714700000007927,5
570714700000012303,5
570714700000012297,5
570714700000012280,5
570714700000009914,6
570714700000002311,6
570714700000002304,6
570714700000013829,5
570714700000013812,5
570714700000005442,1
570714700000003134,1
570714700000005435,1
570714700000013430,6
570714700000003301,1
570714700000003318,1
570714700000008764,6
570714700000005282,1
570714700000012846,5
570714700000011818,6
570714700000005299,1
570714700000012839,5
570714700000011801,6
570714700000005305,1
570714700000011795,6
570714700000011788,6
570714700000003431,6
570714700000011771,6
570714700000007828,6
570714700000012792,6
570714700000012808,6
570714700000012815,6
571313174000602154,1
570714700000012518,1
571313174000602147,1
570714700000005466,1
571313174000602130,1
571313174000602109,1
571313174000602116,1
571313174000602123,1
570714700000005428,1
570714700000005411,1
570714700000005404,1
570714700000013249,6
570714700000013232,6
570714700000012563,1
570714700000005381,1
570714700000005350,1
570714700000005336,1
570714700000009273,5
570714700000009280,5
570714700000010903,6
570714700000012891,1
570714700000011894,5
